imageName X Y Z Omega Phi Kappa
DJI_0135.JPG 1419633.155768 9410593.094302 -84.142235 1.100380 -0.002779 109.078703
DJI_0136.JPG 1419620.278453 9410594.145405 -84.485184 1.029633 -0.090599 112.634496
DJI_0137.JPG 1419579.110627 9410529.111863 -73.098475 23.821924 -17.390689 -38.414560
DJI_0138.JPG 1419586.381320 9410522.421966 -74.086379 25.472807 -14.771138 -32.324243
DJI_0139.JPG 1419596.538785 9410516.300162 -73.957059 27.125222 -11.152593 -24.439747
DJI_0140.JPG 1419606.649815 9410512.102961 -73.845113 29.804839 -7.856911 -16.545811
DJI_0141.JPG 1419615.223460 9410509.655258 -73.371703 30.472016 -4.460072 -10.462690
DJI_0142.JPG 1419624.897298 9410508.217992 -72.826245 30.789296 -0.735208 -3.776489
DJI_0143.JPG 1419637.040911 9410507.730496 -72.731713 40.164683 4.421899 3.570805
DJI_0144.JPG 1419646.915856 9410509.070352 -71.987970 40.041205 5.049229 4.455126
DJI_0145.JPG 1419660.593469 9410513.374667 -71.559004 39.971719 -0.883360 -2.553482
DJI_0146.JPG 1419673.330233 9410514.269617 -71.411490 39.076177 -7.966267 -11.200556
DJI_0147.JPG 1419680.649746 9410517.787703 -71.461943 39.483948 -5.225317 -7.818039
DJI_0148.JPG 1419696.542711 9410518.456662 -71.883051 39.939349 0.263912 -1.114477
DJI_0149.JPG 1419709.267261 9410518.579334 -71.661166 39.946148 -0.046210 -1.430492
DJI_0150.JPG 1419725.010305 9410525.105976 -71.441328 39.997199 1.970840 0.976828
DJI_0151.JPG 1419735.748842 9410531.816549 -70.916479 39.738838 6.384874 6.364525
DJI_0152.JPG 1419743.305959 9410540.467795 -70.620682 39.987684 0.565040 -0.661497
DJI_0153.JPG 1419747.236545 9410550.219950 -71.061068 44.757443 -14.481658 -15.335075
DJI_0154.JPG 1419750.031424 9410560.646118 -70.624656 43.130197 -12.636829 -14.494961
DJI_0155.JPG 1419752.036752 9410570.700694 -71.143105 30.827724 25.790860 35.594656
DJI_0156.JPG 1419752.431013 9410584.709938 -72.020606 21.196565 34.014471 55.690580
DJI_0157.JPG 1419751.305849 9410597.793454 -73.084281 12.770684 37.324168 70.707971
DJI_0158.JPG 1419747.790272 9410611.955582 -80.549753 1.482466 38.783067 89.478540
DJI_0159.JPG 1419743.211429 9410628.331785 -80.115435 -19.126831 37.887160 121.840260
DJI_0160.JPG 1419738.216403 9410638.351417 -79.766730 -28.774431 40.008641 132.801986
DJI_0161.JPG 1419729.716115 9410652.037642 -79.191043 -45.990357 42.926818 148.819503
DJI_0162.JPG 1419698.454924 9410653.351907 -74.950309 -48.391012 12.083067 168.263898
DJI_0163.JPG 1419691.021629 9410658.931872 -74.402905 -49.128323 6.817833 173.224606
DJI_0164.JPG 1419678.554604 9410666.965009 -74.166681 -47.506814 1.611300 178.003663
DJI_0165.JPG 1419668.289877 9410671.813110 -74.536707 -47.380665 -0.862091 -179.459787
DJI_0166.JPG 1419657.190024 9410675.472628 -74.221113 -53.969689 -0.269212 179.969769
DJI_0167.JPG 1419644.098464 9410678.740841 -74.807125 -50.505711 -4.647192 -176.171028
DJI_0168.JPG 1419633.878572 9410679.117368 -75.048034 -50.344055 -6.164065 -174.809305
DJI_0169.JPG 1419618.988593 9410678.416392 -75.049946 -51.074787 -8.007053 -173.360559
DJI_0170.JPG 1419608.856029 9410677.101448 -75.280039 -51.132437 -7.690081 -173.615601
DJI_0171.JPG 1419598.556546 9410673.619979 -74.888493 -50.818914 -9.736334 -171.862737
DJI_0172.JPG 1419588.997445 9410669.857307 -74.483334 -50.698371 -10.155711 -171.516330
DJI_0173.JPG 1419582.560232 9410666.598758 -74.408364 -50.758695 -10.106911 -171.543205
DJI_0174.JPG 1419575.305947 9410662.279406 -74.620179 -51.330708 4.590374 176.421891
DJI_0175.JPG 1419559.689807 9410648.795554 -72.439345 -49.633276 15.635007 167.103255
DJI_0176.JPG 1419553.061067 9410640.345924 -72.319932 -50.595656 10.948979 171.117656
DJI_0177.JPG 1419548.494112 9410633.489104 -72.033912 -51.078419 7.245729 174.287551
DJI_0178.JPG 1419542.630521 9410622.478247 -71.507831 -51.462170 2.041672 178.455610
DJI_0179.JPG 1419536.998977 9410607.655326 -71.264598 -5.641222 50.631475 96.900596
DJI_0180.JPG 1419534.446500 9410591.333548 -72.058463 5.975637 50.407637 81.720762
DJI_0181.JPG 1419534.165795 9410575.364151 -72.568069 9.126515 49.796363 77.338654
DJI_0182.JPG 1419539.664177 9410551.959463 -72.113150 0.712864 -50.173018 -90.870653
DJI_0183.JPG 1419545.504181 9410539.288473 -73.004414 18.073801 -47.882371 -68.324729
DJI_0184.JPG 1419552.501966 9410527.832567 -73.823689 27.448068 -44.184799 -55.476310
DJI_0185.JPG 1419558.976383 9410519.278333 -74.337709 43.030395 -48.125091 -40.472020
DJI_0186.JPG 1419570.750021 9410507.350233 -75.341326 49.368759 -41.661901 -31.397269
DJI_0187.JPG 1419580.320396 9410500.757081 -75.558566 53.148436 -36.199173 -25.491144
DJI_0188.JPG 1419599.927069 9410491.842099 -79.195243 58.313034 -24.302563 -15.621215
DJI_0189.JPG 1419612.602172 9410489.060923 -80.062742 59.428186 -19.772777 -12.595275
DJI_0190.JPG 1419626.465020 9410487.617669 -80.348305 59.665030 -18.321063 -11.636284
DJI_0191.JPG 1419635.812170 9410487.070837 -79.919286 58.498713 -14.304830 -9.789945
DJI_0192.JPG 1419646.802165 9410488.195649 -79.547936 53.577906 -8.091165 -7.145042
DJI_0193.JPG 1419658.001683 9410490.912362 -79.177376 52.963262 -12.324108 -10.403096
DJI_0194.JPG 1419671.547171 9410495.078785 -79.192800 53.761738 -7.364474 -6.562888
DJI_0195.JPG 1419682.496645 9410501.177994 -79.240965 53.655674 -7.923486 -6.960812
DJI_0196.JPG 1419692.315187 9410507.937217 -78.985082 54.095169 -3.227786 -3.402963
DJI_0197.JPG 1419697.441069 9410512.948111 -78.927490 35.389230 10.708229 13.484360
DJI_0198.JPG 1419708.868489 9410525.924817 -89.533970 33.790315 15.761231 21.268212
DJI_0199.JPG 1419715.415417 9410534.977966 -89.564764 48.628691 10.580353 8.359827
DJI_0200.JPG 1419719.525465 9410544.294528 -89.388158 39.280101 -30.894301 -33.413470
DJI_0201.JPG 1419724.668028 9410556.253875 -90.088069 41.050562 -28.480076 -30.165360
DJI_0202.JPG 1419727.273650 9410567.194842 -90.585258 43.555603 -24.073164 -24.781765
DJI_0203.JPG 1419728.431349 9410577.874068 -90.784095 43.753769 -42.209066 -36.334473
DJI_0204.JPG 1419731.703565 9410613.469157 -85.772519 32.496138 -52.083735 -49.077469
DJI_0205.JPG 1419742.205078 9410625.998649 -85.791620 14.314568 -58.075002 -71.569299
DJI_0206.JPG 1419760.200411 9410626.741032 -85.637608 9.265843 -58.776252 -77.706027
DJI_0207.JPG 1419772.357667 9410627.704640 -85.615433 32.600529 -52.125476 -49.171348
DJI_0208.JPG 1419793.429137 9410634.189203 -85.084342 49.447566 -35.899103 -24.655522
DJI_0209.JPG 1419806.736632 9410639.879084 -84.546816 21.966845 -56.204232 -62.515287
DJI_0210.JPG 1419820.307164 9410642.072678 -83.507748 31.783880 -52.448084 -50.354151
DJI_0211.JPG 1419837.378943 9410643.123473 -82.400105 31.119310 -52.838480 -51.287993
DJI_0212.JPG 1419859.330249 9410653.696932 -82.239391 46.280099 -40.745006 -30.351469
DJI_0213.JPG 1419858.699246 9410654.639122 -82.666200 -32.406274 -64.681529 -124.361233
DJI_0214.JPG 1419858.938883 9410654.840052 -82.864020 63.102024 -49.055554 -19.347154
DJI_0216.JPG 1419878.966543 9410666.407462 -88.590413 -28.662784 51.673121 127.226327
DJI_0217.JPG 1419853.707196 9410659.220925 -87.971376 -27.107723 54.091160 124.517375
DJI_0218.JPG 1419833.724764 9410652.826374 -88.186633 -31.221284 52.019148 129.742712
DJI_0219.JPG 1419816.998274 9410641.540729 -88.017427 -32.908669 50.932728 131.983554
DJI_0220.JPG 1419800.465416 9410630.494377 -87.435440 -30.718865 51.962893 129.225552
DJI_0221.JPG 1419776.593875 9410629.888642 -86.440149 -32.879223 50.722406 132.002325
DJI_0222.JPG 1419765.481110 9410601.050336 -88.349441 -15.045560 56.900467 110.081016
DJI_0223.JPG 1419733.136071 9410581.992596 -88.910156 -2.935416 58.323597 95.664106
DJI_0224.JPG 1419694.368845 9410560.981228 -89.433210 17.429852 57.175453 71.472753
DJI_0225.JPG 1419682.081978 9410568.164506 -88.421404 17.290753 57.302298 71.724769
