imageName longitude latitude altitude Omega Phi Kappa
DJI_0296.JPG -81.67117781 25.93255249 -25.09792285 -63.60222393 30.09260506 164.39172048
DJI_0297.JPG -81.67119505 25.93251406 -24.07242749 -35.84803004 -43.15380117 -136.69455071
DJI_0298.JPG -81.67119068 25.93251828 -24.00501603 1.14877920 -53.56390307 -87.37930912
DJI_0299.JPG -81.67118659 25.93252271 -26.11966572 55.66749481 -49.17452887 -25.47675290
DJI_0300.JPG -81.67110634 25.93257906 -26.01131236 59.00030886 -43.82259698 -20.77868610
DJI_0301.JPG -81.67102955 25.93262207 -25.39120062 59.94495468 -42.02354025 -19.36617273
DJI_0302.JPG -81.67098646 25.93265077 -25.27101546 60.88408203 -39.91964197 -17.80092423
DJI_0303.JPG -81.67094164 25.93269090 -25.18788870 61.11385420 -39.37485573 -17.40110307
DJI_0304.JPG -81.67088224 25.93275020 -25.01328971 61.88840417 -37.40937333 -16.03922834
DJI_0305.JPG -81.67080850 25.93282897 -24.87923530 57.97342915 -33.63438590 -17.04176228
DJI_0306.JPG -81.67074051 25.93290022 -24.84751193 60.25575402 -26.04290942 -11.94972970
DJI_0307.JPG -81.67069010 25.93296730 -24.96121514 61.77651455 -17.69637646 -7.02320118
DJI_0308.JPG -81.67065293 25.93304848 -25.01592442 62.66126666 -4.96404432 -0.37989233
DJI_0309.JPG -81.67063891 25.93312678 -25.06719238 62.50830451 2.05344577 3.11692199
DJI_0310.JPG -81.67064857 25.93319390 -25.05125916 57.26630013 29.07152707 18.65604762
DJI_0311.JPG -81.67069549 25.93325740 -25.24527561 29.19311268 56.88071233 56.24379095
DJI_0312.JPG -81.67086184 25.93311799 -26.28907350 -64.79990225 18.87335514 169.31482847
DJI_0313.JPG -81.67095584 25.93295210 -26.59079790 -61.93761779 29.27277572 163.19108827
DJI_0120.JPG -81.67200499 25.93206968 -24.14592633 1.43150821 1.33602399 -79.94083232
DJI_0121.JPG -81.67193720 25.93207910 -24.38095543 1.23116828 1.40958898 -80.30417998
DJI_0122.JPG -81.67188710 25.93208624 -26.47939730 1.38554965 1.23009397 -80.30737701
DJI_0123.JPG -81.67182850 25.93208849 -26.60080849 1.52404488 1.44780248 -80.03885435
DJI_0124.JPG -81.67176829 25.93209076 -26.62051623 0.94219876 1.18952297 -80.52296316
DJI_0125.JPG -81.67169031 25.93207830 -26.42556740 0.63444484 1.27866880 -79.99186376
DJI_0128.JPG -81.67160474 25.93217331 -26.95045649 1.63685715 1.59378323 54.51945981
DJI_0129.JPG -81.67163943 25.93219637 -26.93235782 1.42899322 1.34180326 56.06303528
DJI_0130.JPG -81.67168003 25.93222566 -26.73339863 1.09827410 1.14263700 55.99561126
DJI_0131.JPG -81.67173831 25.93226197 -26.41046876 1.06403361 0.96520352 56.85958679
DJI_0132.JPG -81.67181236 25.93227442 -25.98974818 2.05750952 0.19946258 112.85302499
DJI_0133.JPG -81.67191062 25.93224710 -25.90366353 -0.04945197 0.44594523 122.06052811
DJI_0134.JPG -81.67199604 25.93221452 -25.67220129 0.89792265 -0.19198104 112.81556730
DJI_0135.JPG -81.67204103 25.93220656 -25.64655323 1.10038012 -0.00277901 109.07870273
DJI_0136.JPG -81.67208024 25.93220927 -25.75108404 1.02963316 -0.09059870 112.63449609
DJI_0137.JPG -81.67220452 25.93202971 -22.28041526 23.82192417 -17.39068937 -38.41456042
DJI_0138.JPG -81.67218229 25.93201140 -22.58152823 25.47280672 -14.77113849 -32.32424290
DJI_0139.JPG -81.67215128 25.93199469 -22.54211164 27.12522217 -11.15259268 -24.43974686
DJI_0140.JPG -81.67212044 25.93198329 -22.50799053 29.80483897 -7.85691057 -16.54581055
DJI_0141.JPG -81.67209430 25.93197667 -22.36369509 30.47201556 -4.46007234 -10.46268951
DJI_0142.JPG -81.67206484 25.93197285 -22.19743942 30.78929589 -0.73520786 -3.77648905
DJI_0143.JPG -81.67202787 25.93197168 -22.16862615 40.16468344 4.42189883 3.57080464
DJI_0144.JPG -81.67199783 25.93197551 -21.94193311 40.04120458 5.04922869 4.45512628
DJI_0145.JPG -81.67195627 25.93198755 -21.81118443 39.97171917 -0.88335998 -2.55348153
DJI_0146.JPG -81.67191752 25.93199019 -21.76622217 39.07617737 -7.96626684 -11.20055554
DJI_0147.JPG -81.67189529 25.93199998 -21.78160015 39.48394786 -5.22531697 -7.81803931
DJI_0148.JPG -81.67184693 25.93200204 -21.90995390 39.93934895 0.26391190 -1.11447698
DJI_0149.JPG -81.67180820 25.93200256 -21.84232341 39.94614806 -0.04621018 -1.43049172
DJI_0150.JPG -81.67176039 25.93202074 -21.77531676 39.99719929 1.97083984 0.97682761
DJI_0151.JPG -81.67172781 25.93203936 -21.61534273 39.73883777 6.38487391 6.36452465
DJI_0152.JPG -81.67170494 25.93206328 -21.52518397 39.98768398 0.56504028 -0.66149705
DJI_0153.JPG -81.67169313 25.93209017 -21.65941363 44.75744276 -14.48165835 -15.33507469
DJI_0154.JPG -81.67168479 25.93211891 -21.52639504 43.13019662 -12.63682944 -14.49496126
DJI_0155.JPG -81.67167884 25.93214661 -21.68441851 30.82772378 25.79086049 35.59465639
DJI_0156.JPG -81.67167786 25.93218517 -21.95188058 21.19656469 34.01447141 55.69057974
DJI_0157.JPG -81.67168149 25.93222116 -22.27608873 12.77068431 37.32416844 70.70797081
DJI_0158.JPG -81.67169241 25.93226009 -24.55156480 1.48246575 38.78306653 89.47854017
DJI_0159.JPG -81.67170660 25.93230509 -24.41918452 -19.12683078 37.88716015 121.84025992
DJI_0160.JPG -81.67172196 25.93233260 -24.31289918 -28.77443148 40.00864125 132.80198555
DJI_0161.JPG -81.67174805 25.93237014 -24.13742998 -45.99035668 42.92681825 148.81950310
DJI_0162.JPG -81.67184322 25.93237332 -22.84485408 -48.39101160 12.08306711 168.26389804
DJI_0163.JPG -81.67186593 25.93238857 -22.67800554 -49.12832301 6.81783317 173.22460612
DJI_0164.JPG -81.67190400 25.93241050 -22.60600441 -47.50681402 1.61130020 178.00366258
DJI_0165.JPG -81.67193532 25.93242370 -22.71878821 -47.38066456 -0.86209148 -179.45978728
DJI_0166.JPG -81.67196916 25.93243361 -22.62259521 -53.96968942 -0.26921174 179.96976905
DJI_0167.JPG -81.67200906 25.93244242 -22.80121173 -50.50571135 -4.64719150 -176.17102818
DJI_0168.JPG -81.67204017 25.93244332 -22.87464085 -50.34405477 -6.16406545 -174.80930542
DJI_0169.JPG -81.67208548 25.93244118 -22.87522341 -51.07478723 -8.00705262 -173.36055863
DJI_0170.JPG -81.67211630 25.93243741 -22.94535593 -51.13243732 -7.69008148 -173.61560079
DJI_0171.JPG -81.67214759 25.93242769 -22.82601258 -50.81891421 -9.73633377 -171.86273693
DJI_0172.JPG -81.67217663 25.93241720 -22.70252026 -50.69837138 -10.15571107 -171.51633044
DJI_0173.JPG -81.67219617 25.93240814 -22.67966922 -50.75869461 -10.10691061 -171.54320452
DJI_0174.JPG -81.67221818 25.93239615 -22.74423051 -51.33070809 4.59037442 176.42189121
DJI_0175.JPG -81.67226550 25.93235882 -22.07951231 -49.63327647 15.63500671 167.10325503
DJI_0176.JPG -81.67228555 25.93233547 -22.04311517 -50.59565551 10.94897894 171.11765556
DJI_0177.JPG -81.67229934 25.93231654 -21.95593638 -51.07841853 7.24572900 174.28755058
DJI_0178.JPG -81.67231701 25.93228615 -21.79558683 -51.46216973 2.04167209 178.45561042
DJI_0179.JPG -81.67233392 25.93224527 -21.72144945 -5.64122151 50.63147528 96.90059603
DJI_0180.JPG -81.67234144 25.93220032 -21.96341951 5.97563652 50.40763707 81.72076204
DJI_0181.JPG -81.67234204 25.93215637 -22.11874756 9.12651466 49.79636336 77.33865407
DJI_0182.JPG -81.67232494 25.93209203 -21.98008803 0.71286423 -50.17301801 -90.87065329
DJI_0183.JPG -81.67230697 25.93205724 -22.25174536 18.07380111 -47.88237114 -68.32472867
DJI_0184.JPG -81.67228549 25.93202581 -22.50146043 27.44806830 -44.18479901 -55.47631015
DJI_0185.JPG -81.67226565 25.93200236 -22.65813381 43.03039473 -48.12509054 -40.47201989
DJI_0186.JPG -81.67222963 25.93196970 -22.96403609 49.36875941 -41.66190094 -31.39726931
DJI_0187.JPG -81.67220040 25.93195169 -23.03025077 53.14843591 -36.19917290 -25.49114432
DJI_0188.JPG -81.67214058 25.93192743 -24.13871019 58.31303389 -24.30256286 -15.62121539
DJI_0189.JPG -81.67210196 25.93191995 -24.40312373 59.42818618 -19.77277720 -12.59527474
DJI_0190.JPG -81.67205974 25.93191618 -24.49016334 59.66502991 -18.32106300 -11.63628364
DJI_0191.JPG -81.67203129 25.93191481 -24.35939825 58.49871262 -14.30483021 -9.78994480
DJI_0192.JPG -81.67199785 25.93191806 -24.24621094 53.57790590 -8.09116539 -7.14504248
DJI_0193.JPG -81.67196381 25.93192569 -24.13326425 52.96326179 -12.32410834 -10.40309560
DJI_0194.JPG -81.67192264 25.93193735 -24.13796530 53.76173795 -7.36447383 -6.56288771
DJI_0195.JPG -81.67188941 25.93195429 -24.15264608 53.65567418 -7.92348568 -6.96081153
DJI_0196.JPG -81.67185963 25.93197303 -24.07465313 54.09516895 -3.22778585 -3.40296313
DJI_0197.JPG -81.67184411 25.93198689 -24.05709888 35.38922953 10.70822897 13.48435996
DJI_0198.JPG -81.67180953 25.93202277 -27.28995418 33.79031503 15.76123140 21.26821157
DJI_0199.JPG -81.67178975 25.93204778 -27.29934014 48.62869099 10.58035303 8.35982733
DJI_0200.JPG -81.67177738 25.93207347 -27.24551056 39.28010110 -30.89430057 -33.41346996
DJI_0201.JPG -81.67176192 25.93210646 -27.45884350 41.05056192 -28.48007552 -30.16536036
DJI_0202.JPG -81.67175416 25.93213661 -27.61038673 43.55560253 -24.07316436 -24.78176467
DJI_0203.JPG -81.67175080 25.93216602 -27.67099205 43.75376937 -42.20906634 -36.33447330
DJI_0204.JPG -81.67174140 25.93226402 -26.14346381 32.49613810 -52.08373525 -49.07746858
DJI_0205.JPG -81.67170963 25.93229866 -26.14928584 14.31456762 -58.07500223 -71.56929874
DJI_0206.JPG -81.67165487 25.93230095 -26.10234289 9.26584346 -58.77625230 -77.70602701
DJI_0207.JPG -81.67161788 25.93230378 -26.09558392 32.60052853 -52.12547642 -49.17134784
DJI_0208.JPG -81.67155385 25.93232192 -25.93370738 49.44756611 -35.89910295 -24.65552176
DJI_0209.JPG -81.67151343 25.93233777 -25.76986966 21.96684526 -56.20423234 -62.51528700
DJI_0210.JPG -81.67147216 25.93234399 -25.45316172 31.78387999 -52.44808377 -50.35415129
DJI_0211.JPG -81.67142022 25.93234713 -25.11555194 31.11930991 -52.83847997 -51.28799279
DJI_0212.JPG -81.67135357 25.93237654 -25.06656628 46.28009890 -40.74500637 -30.35146892
DJI_0213.JPG -81.67135550 25.93237912 -25.19665786 -32.40627428 -64.68152917 -124.36123314
DJI_0214.JPG -81.67135478 25.93237968 -25.25695318 63.10202397 -49.05555369 -19.34715386
DJI_0216.JPG -81.67129400 25.93241179 -27.00235793 -28.66278385 51.67312059 127.22632738
DJI_0217.JPG -81.67137077 25.93239166 -26.81367550 -27.10772250 54.09115994 124.51737454
DJI_0218.JPG -81.67143149 25.93237378 -26.87928559 -31.22128382 52.01914801 129.74271173
DJI_0219.JPG -81.67148222 25.93234248 -26.82771168 -32.90866932 50.93272841 131.98355434
DJI_0220.JPG -81.67153237 25.93231185 -26.65032215 -30.71886522 51.96289308 129.22555221
DJI_0221.JPG -81.67160502 25.93230985 -26.34695751 -32.87922340 50.72240604 132.00232529
DJI_0222.JPG -81.67163839 25.93223032 -26.92890967 -15.04556033 56.90046699 110.08101600
DJI_0223.JPG -81.67173654 25.93217742 -27.09981557 -2.93541623 58.32359734 95.66410582
DJI_0224.JPG -81.67185421 25.93211904 -27.25924228 17.42985225 57.17545255 71.47275277
DJI_0225.JPG -81.67189172 25.93213864 -26.95084400 17.29075255 57.30229757 71.72476896
