x,y,z,sx,sy,sz
1420040.09,9410895.81,-130.65,0.7608,0.8220,1.1371
1420091.16,9410943.26,-134.61,0.8414,0.8331,1.2097
1420014.94,9410802.01,-132.93,1.5758,3.7902,1.4426
1420087.08,9410952.37,-134.96,0.8437,0.8457,1.2142
1420078.78,9410957.87,-135.24,0.8383,0.8470,1.2103
1419995.75,9410822.76,-129.56,1.7307,3.1759,1.3470
1419915.16,9410526.15,-128.07,1.9411,5.0590,1.1553
1419959.72,9410817.84,-128.16,6.0487,9.0258,2.4701
1419910.14,9410786.17,-121.61,4.5144,5.7565,1.5007
1419966.50,9410651.73,-130.62,1.4822,3.9768,1.1776
1420089.49,9410961.75,-135.10,0.8542,0.8564,1.2222
1419933.18,9410780.86,-128.81,1.2078,1.6672,1.0490
1420092.87,9410946.48,-134.78,0.8467,0.8580,1.2197
1419897.74,9410808.94,-125.16,3.1635,2.9092,1.4030
1419922.07,9410822.46,-119.29,7.2466,8.4468,2.0667
1420073.47,9410997.17,-135.84,0.8658,0.8911,1.2356
1420047.09,9410924.38,-133.14,1.0762,1.6314,1.3865
1419993.71,9410649.75,-125.48,2.7888,9.5125,1.6523
1420089.12,9410935.03,-131.34,0.8352,0.9639,1.2373
1420023.71,9410718.43,-131.70,0.9753,3.2045,1.2173
1420088.98,9410987.32,-135.38,0.8758,0.8962,1.2519
1420026.72,9410714.25,-132.60,1.7324,7.0619,1.7181
1419931.27,9410854.13,-123.47,0.7727,0.7205,1.0387
1420080.97,9410939.53,-134.96,0.8266,0.8427,1.2053
1419995.21,9410709.99,-133.57,3.0412,9.0583,2.0046
1420068.37,9410975.35,-135.87,0.8425,0.8631,1.2179
1420079.33,9410955.65,-135.11,0.8364,0.8394,1.2068
1420015.96,9410684.91,-123.46,3.1436,12.3360,2.0693
1420051.59,9410897.42,-135.28,0.7580,0.7490,1.1394
1420028.24,9410964.82,-136.84,0.7870,0.8151,1.1677
1420069.63,9410959.57,-135.32,0.8279,0.8370,1.2002
1420094.62,9410941.62,-134.23,0.8446,0.8452,1.2164
1420075.09,9410930.14,-133.64,0.8966,1.6436,1.4575
1420053.32,9410901.96,-135.49,0.8091,1.0421,1.1983
1420050.18,9410872.32,-135.29,0.8019,1.1758,1.1811
1419944.19,9410848.42,-126.68,1.2450,1.2019,1.1602
1420089.59,9410987.90,-135.27,0.8766,0.8932,1.2475
1420066.87,9410945.00,-135.46,0.8130,0.8186,1.1877
1420066.94,9410864.21,-134.42,0.7551,0.7263,1.1362
1420070.43,9410933.49,-127.81,1.2363,3.0220,1.9912
1420074.79,9410916.25,-134.94,0.8003,0.7911,1.1752
1419965.32,9410866.33,-133.75,0.6891,0.6953,1.0652
1419954.33,9410627.85,-134.07,0.5914,0.8142,1.0072
1420048.15,9410883.13,-135.24,0.7520,0.7933,1.1357
1420047.83,9410965.66,-128.45,0.8163,0.8425,1.1907
1420065.76,9410950.78,-135.58,0.8162,0.8235,1.1902
1419988.01,9410778.93,-130.33,3.0579,6.5823,1.7775
1420043.06,9410840.05,-134.37,1.3000,3.7140,1.6497
1420070.03,9410984.82,-135.77,0.8599,0.8910,1.2455
1420004.14,9410683.15,-132.90,0.7789,1.8022,1.0729
1420044.92,9410918.43,-131.18,0.8027,0.9080,1.1721
1420018.34,9410774.97,-133.06,2.5046,7.5977,2.1149
1420028.49,9410946.88,-136.20,0.8454,0.8737,1.1965
1420060.54,9410886.19,-134.85,0.7613,0.7490,1.1424
1419980.33,9410706.16,-135.21,0.6114,0.7326,1.0150
1419925.26,9410842.39,-129.06,1.3250,1.1647,1.1363
1420065.64,9410990.45,-136.08,0.8571,0.8844,1.2317
1419960.52,9410620.46,-128.63,1.1022,2.7991,1.0716
1420058.87,9410881.11,-134.86,0.7559,0.7430,1.1378
1420020.66,9410792.19,-134.94,1.5515,4.2596,1.5490
1420031.62,9410821.28,-132.04,1.6563,4.5984,1.6889
1420042.54,9410866.73,-134.12,0.7257,0.7080,1.1127
1420075.51,9410912.03,-129.41,0.8008,0.8825,1.1899
1420074.18,9410977.55,-135.72,0.8516,0.8745,1.2283
1419931.67,9410855.50,-126.56,1.2085,1.0125,1.1208
1420033.71,9410930.49,-125.86,0.8967,1.0427,1.1954
1420087.39,9410942.16,-129.67,0.8341,0.8304,1.2049
1419925.47,9410750.24,-136.19,0.5859,0.6277,0.9813
1420090.91,9410934.25,-132.16,0.8334,0.8279,1.2047
1420077.27,9410939.51,-135.04,0.8211,0.8201,1.1939
1420054.71,9410809.06,-126.10,0.8653,2.4934,1.2431
1420072.18,9410962.53,-135.52,0.8340,0.8452,1.2070
1420019.26,9410835.41,-131.88,0.7745,1.1114,1.1113
1420010.03,9410838.23,-135.89,0.6932,0.7555,1.0765
1420019.75,9410870.39,-130.27,0.7004,0.6954,1.0930
1420062.42,9410941.79,-131.86,0.8050,0.8150,1.1809
1419937.31,9410815.91,-124.46,1.5383,1.8203,1.1853
1420023.51,9410982.11,-135.20,0.7981,0.8359,1.1784
1420006.71,9410980.93,-137.58,0.7815,0.8244,1.1651
1420037.66,9410996.73,-136.85,0.8262,0.8657,1.2030
1420008.61,9410978.32,-137.46,0.7808,0.8219,1.1641
1419968.12,9410946.70,-138.51,0.7414,0.7659,1.1139
1420036.55,9410995.36,-136.92,0.8243,0.8633,1.2011
1420023.11,9410996.79,-137.22,0.8105,0.8565,1.1909
1419946.41,9410939.26,-138.78,0.8054,0.7699,1.1065
1420024.51,9410987.91,-137.20,0.8049,0.8449,1.1847
1420030.94,9410986.98,-136.99,0.8142,0.8494,1.1913
1420018.79,9410973.09,-137.16,0.7877,0.8215,1.1684
1420033.75,9410991.05,-136.91,0.8179,0.8554,1.1956
1420032.04,9410988.99,-137.03,0.8132,0.8512,1.1915
1419967.55,9410946.83,-136.21,0.7325,0.7615,1.1117
1420044.39,9410983.54,-136.51,0.8330,0.8605,1.2069
1420021.92,9410972.70,-137.05,0.7890,0.8223,1.1698
1420038.65,9410990.94,-136.78,0.8217,0.8581,1.1986
1419989.83,9410919.04,-137.33,0.7208,0.7426,1.1044
1420055.91,9410983.56,-136.14,0.8333,0.8593,1.2070
1420052.74,9411002.01,-136.41,0.8497,0.8844,1.2232
1420067.17,9410967.29,-135.80,0.8344,0.8542,1.2092
1420045.02,9410985.38,-136.55,0.8232,0.8545,1.1991
1419892.59,9410801.28,-118.81,2.5852,2.8063,1.1372
1420014.53,9410957.78,-136.96,0.7780,0.8039,1.1550
1420102.56,9410979.41,-134.77,0.8852,0.8912,1.2510
1420048.65,9410974.27,-136.22,0.8221,0.8476,1.1974
1420089.80,9410939.39,-134.80,0.8368,0.8288,1.2061
1420019.88,9410872.95,-133.80,0.7106,0.7246,1.0977
1420072.81,9410998.64,-135.92,0.8665,0.8928,1.2365
1420055.04,9411005.24,-136.49,0.8530,0.8895,1.2258
1420065.94,9410973.00,-135.86,0.8366,0.8554,1.2093
1420057.11,9410979.38,-136.18,0.8314,0.8552,1.2050
1419932.25,9410638.81,-132.63,1.8004,4.0496,1.1605
1419788.72,9410597.01,-129.92,1.9379,2.6272,1.0107
1419930.70,9410842.67,-120.62,4.4865,3.9640,1.9662
1419994.01,9410694.78,-130.81,1.6912,4.9435,1.3240
1420059.03,9411004.68,-136.41,0.8581,0.8921,1.2303
1420074.71,9410996.92,-135.81,0.8673,0.8921,1.2372
1419937.74,9410780.22,-130.49,1.6865,2.4671,1.1367
1420076.92,9410890.47,-134.42,0.7848,0.7604,1.1607
1420104.88,9410974.97,-134.75,0.8845,0.8867,1.2493
