DJI_0248.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, 0.00024649, 0.000204438, 0.000102312, -0.000786298, -4.42436e-05, -0.000674075
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.00474318, 0.00259605, -0.00339147, 0.0195062, -0.0019473, -0.00759462
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, -0.0019717, -0.000461629, 0.0016483, 0.00310961, 0.0156009, 0.0372524
0.00163737, -0.0017016, 0.00641037, 0.00110535, -0.000341251, 0.00024649, 0.00474318, -0.0019717, 1, 0.0138285, -0.000581992, 0.0104853, -0.00426251, -0.244224
0.00602764, -0.00108514, 0.001634, 0.00104412, -0.000129743, 0.000204438, 0.00259605, -0.000461629, 0.0138285, 1, 0.000413809, 0.000490931, 0.0105969, 0.0685799
0.00298179, 0.00178333, -0.00446312, 0.000651006, -0.000163202, 0.000102312, -0.00339147, 0.0016483, -0.000581992, 0.000413809, 1, 0.0573273, 0.134593, -0.000498989
-0.00505226, 0.0034268, 0.0232584, -0.000985744, 0.00087201, -0.000786298, 0.0195062, 0.00310961, 0.0104853, 0.000490931, 0.0573273, 1, -0.164138, -0.0216272
-0.00315475, 0.0151195, -0.00195766, -0.000889762, 0.000139417, -4.42436e-05, -0.0019473, 0.0156009, -0.00426251, 0.0105969, 0.134593, -0.164138, 1, 0.0063333
-0.0107009, 0.0379109, -0.00648064, -0.0021495, 0.000906633, -0.000674075, -0.00759462, 0.0372524, -0.244224, 0.0685799, -0.000498989, -0.0216272, 0.0063333, 1
DJI_0252.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0328556, -0.393775, -0.237045, 0.270453, -0.236784, -0.15222, 0.0414033, 0.00158126, 0.00743673, 0.00186673, -0.00497126, -0.00307445, -0.0108717
0.0328556, 1, -0.0565385, -0.0032051, 0.00815648, -0.00733533, -0.0888418, 0.946523, -0.00261396, -0.000713946, 0.00126671, 0.0034276, 0.015182, 0.0377483
-0.393775, -0.0565385, 1, -0.0691387, 0.0259573, -0.0208535, 0.800684, -0.0793322, 0.00715248, 0.00210085, -0.00353787, 0.0232736, -0.00171626, -0.00699206
-0.237045, -0.0032051, -0.0691387, 1, -0.96124, 0.90279, -0.0607056, -0.00703704, 0.00144947, 0.00146374, 0.00048391, -0.00100865, -0.000978456, -0.00220881
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, -0.000630317, -0.000340095, -0.00011803, 0.00091018, 0.000238296, 0.00097752
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, 0.000508404, 0.000352261, 5.63813e-05, -0.000827743, -0.00014318, -0.000794731
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.00546374, 0.00309318, -0.00271285, 0.0195757, -0.00152876, -0.00815449
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, -0.00312408, -0.000311971, 0.00109324, 0.00310121, 0.0156218, 0.0371358
0.00158126, -0.00261396, 0.00715248, 0.00144947, -0.000630317, 0.000508404, 0.00546374, -0.00312408, 1, -0.00113194, -0.000917163, 0.0142866, -0.00568563, -0.229331
0.00743673, -0.000713946, 0.00210085, 0.00146374, -0.000340095, 0.000352261, 0.00309318, -0.000311971, -0.00113194, 1, 0.000387725, 0.00072163, 0.0135565, -0.041313
0.00186673, 0.00126671, -0.00353787, 0.00048391, -0.00011803, 5.63813e-05, -0.00271285, 0.00109324, -0.000917163, 0.000387725, 1, -0.0248047, 0.150683, 0.00124427
-0.00497126, 0.0034276, 0.0232736, -0.00100865, 0.00091018, -0.000827743, 0.0195757, 0.00310121, 0.0142866, 0.00072163, -0.0248047, 1, -0.16326, -0.0214659
-0.00307445, 0.015182, -0.00171626, -0.000978456, 0.000238296, -0.00014318, -0.00152876, 0.0156218, -0.00568563, 0.0135565, 0.150683, -0.16326, 1, 0.00628693
-0.0108717, 0.0377483, -0.00699206, -0.00220881, 0.00097752, -0.000794731, -0.00815449, 0.0371358, -0.229331, -0.041313, 0.00124427, -0.0214659, 0.00628693, 1
DJI_0253.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0328556, -0.393775, -0.237045, 0.270453, -0.236784, -0.15222, 0.0414033, 0.0010804, 0.00853402, 0.000769879, -0.00492159, -0.00314596, -0.0110329
0.0328556, 1, -0.0565385, -0.0032051, 0.00815648, -0.00733533, -0.0888418, 0.946523, -0.00359634, -0.000347402, 0.000756596, 0.00337169, 0.0152778, 0.0375376
-0.393775, -0.0565385, 1, -0.0691387, 0.0259573, -0.0208535, 0.800684, -0.0793322, 0.00791819, 0.00267362, -0.00267631, 0.0232336, -0.00166936, -0.00742421
-0.237045, -0.0032051, -0.0691387, 1, -0.96124, 0.90279, -0.0607056, -0.00703704, 0.00176264, 0.0018585, 0.000334265, -0.00095198, -0.000809364, -0.00240926
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, -0.000876786, -0.000520266, -9.05546e-05, 0.000872187, 0.000131843, 0.00120199
